Uberstrain	Name	Comment	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_ZA5401AA	CAN99	PATH-SAFE project	traces-0cVvDIR;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5401AA	Assembled	174	138810	4845496	Escherichia coli / Shigella;88.1%	107	232711	4.1	ESC_DC2970AA_AS
ESC_ZA5402AA	CAN204	PATH-SAFE project	traces-0MQZpAf;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5402AA	Assembled	171	398370	5120482	Escherichia coli / Shigella;100.0%	63	26934	4.1	ESC_DC2971AA_AS
ESC_ZA5403AA	CAN205	PATH-SAFE project	traces-0OzJABb;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5403AA	Assembled	184	172932	5107098	Escherichia coli / Shigella;100.0%	98	37569	4.1	ESC_DC2972AA_AS
ESC_ZA5404AA	CAN202	PATH-SAFE project	traces-0XojdpE;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5404AA	Assembled	120	343935	5251530	Escherichia coli / Shigella;100.0%	68	10074	4.1	ESC_DC2960AA_AS
ESC_ZA5405AA	CAN203	PATH-SAFE project	traces-0bdCyll;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5405AA	Assembled	166	313125	4821675	Escherichia coli / Shigella;97.68%	63	10569	4.1	ESC_DC2973AA_AS
ESC_ZA5406AA	CAN200	PATH-SAFE project	traces-0oXfZZs;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5406AA	Assembled	152	320318	5075027	Escherichia coli / Shigella;98.0%	77	105204	4.1	ESC_DC2974AA_AS
ESC_ZA5407AA	CAN201	PATH-SAFE project	traces-0WSArAr;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5407AA	Assembled	154	404786	5213430	Escherichia coli / Shigella;97.87%	71	58612	4.1	ESC_DC2975AA_AS
ESC_ZA5408AA	CAN18	PATH-SAFE project	traces-0rWfvkD;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5408AA	Assembled	71	433245	5011209	Escherichia coli / Shigella;100.0%	72	8482	4.1	ESC_DC2976AA_AS
ESC_ZA5409AA	CAN19	PATH-SAFE project	traces-0BVsBTP;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5409AA	Assembled	187	385610	4996075	Escherichia coli / Shigella;100.0%	78	15710	4.1	ESC_DC2977AA_AS
ESC_ZA5410AA	CAN14	PATH-SAFE project	traces-0XDkYtZ;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5410AA	Assembled	170	84133	4871093	Escherichia coli / Shigella;97.82%	193	83206	4.1	ESC_DC2978AA_AS
ESC_ZA5411AA	CAN15	PATH-SAFE project	traces-0uMceac;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5411AA	Assembled	228	188345	5128615	Escherichia coli / Shigella;98.41%	81	99651	4.1	ESC_DC2979AA_AS
ESC_ZA5412AA	CAN16	PATH-SAFE project	traces-0uLnTEz;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5412AA	Assembled	85	214673	5103772	Escherichia coli / Shigella;97.44%	127	24411	4.1	ESC_DC2980AA_AS
ESC_ZA5413AA	CAN17	PATH-SAFE project	traces-0keHbhw;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5413AA	Assembled	260	324620	4691837	Escherichia coli / Shigella;100.0%	64	12628	4.1	ESC_DC2981AA_AS
ESC_ZA5414AA	CAN10	PATH-SAFE project	traces-0QUvwfT;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5414AA	Assembled	276	244407	5177684	Escherichia coli / Shigella;97.15%	105	21007	4.1	ESC_DC2982AA_AS
ESC_ZA5415AA	CAN11	PATH-SAFE project	traces-0rUdnPs;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5415AA	Assembled	261	322182	5145228	Escherichia coli / Shigella;96.44%	83	13833	4.1	ESC_DC2983AA_AS
ESC_ZA5416AA	CAN12	PATH-SAFE project	traces-0KhAAsz;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5416AA	Assembled	234	185055	4994794	Escherichia coli / Shigella;100.0%	91	21817	4.1	ESC_DC2984AA_AS
ESC_ZA5417AA	CAN13	PATH-SAFE project	traces-0Nexbus;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5417AA	Assembled	239	279587	4932413	Escherichia coli / Shigella;97.56%	61	12569	4.1	ESC_DC2985AA_AS
ESC_ZA5418AA	HU17	PATH-SAFE project	traces-0QJdnnc;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5418AA	Assembled	147	124448	5245229	Escherichia coli / Shigella;97.77%	130	126177	4.1	ESC_DC2986AA_AS
ESC_ZA5419AA	HU14	PATH-SAFE project	traces-0bqMCAF;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5419AA	Assembled	161	271918	5228369	Escherichia coli / Shigella;100.0%	78	23617	4.1	ESC_DC2987AA_AS
ESC_ZA5420AA	CAN178	PATH-SAFE project	traces-0ONOmMH;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5420AA	Assembled	91	365356	5176603	Escherichia coli / Shigella;98.04%	84	26131	4.1	ESC_DC2988AA_AS
ESC_ZA5421AA	CAN179	PATH-SAFE project	traces-0Qftqeu;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5421AA	Assembled	64	299584	5037645	Escherichia coli / Shigella;95.65%	69	14991	4.1	ESC_DC2989AA_AS
ESC_ZA5422AA	HU11	PATH-SAFE project	traces-0DAnkbg;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5422AA	Assembled	117	198924	5370418	Escherichia coli / Shigella;98.97%	138	86431	4.1	ESC_DC2990AA_AS
ESC_ZA5423AA	CAN174	PATH-SAFE project	traces-0ZuMyQH;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5423AA	Assembled	168	653865	5198201	Escherichia coli / Shigella;100.0%	56	104385	4.1	ESC_DC2991AA_AS
ESC_ZA5424AA	CAN175	PATH-SAFE project	traces-0AYHgHc;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5424AA	Assembled	149	286030	5086515	Escherichia coli / Shigella;100.0%	49	25255	4.1	ESC_DC2992AA_AS
ESC_ZA5425AA	CAN176	PATH-SAFE project	traces-0YPgnEC;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5425AA	Assembled	108	299948	4873071	Escherichia coli / Shigella;100.0%	55	116572	4.1	ESC_DC2993AA_AS
ESC_ZA5426AA	CAN177	PATH-SAFE project	traces-0BCkVyt;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5426AA	Assembled	66	360910	5257143	Escherichia coli / Shigella;100.0%	75	23139	4.1	ESC_DC2994AA_AS
ESC_ZA5427AA	CAN170	PATH-SAFE project	traces-0jtRErS;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5427AA	Assembled	143	380821	5087562	Escherichia coli / Shigella;100.0%	49	17405	4.1	ESC_DC2995AA_AS
ESC_ZA5428AA	CAN171	PATH-SAFE project	traces-0iLAqiV;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5428AA	Assembled	119	624068	4948751	Escherichia coli / Shigella;96.3%	38	16903	4.1	ESC_DC2996AA_AS
ESC_ZA5429AA	CAN172	PATH-SAFE project	traces-0pHHZtU;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5429AA	Assembled	84	367016	5272551	Escherichia coli / Shigella;94.65%	78	97151	4.1	ESC_DC2997AA_AS
ESC_ZA5430AA	CAN173	PATH-SAFE project	traces-0vJBAOu;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5430AA	Assembled	79	315024	4780366	Escherichia coli / Shigella;100.0%	40	6389	4.1	ESC_DC2998AA_AS
ESC_ZA5431AA	HU74	PATH-SAFE project	traces-0xtUyhZ;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5431AA	Assembled	135	558657	4772231	Escherichia coli / Shigella;100.0%	31	7677	4.1	ESC_DC2999AA_AS
ESC_ZA5432AA	HU75	PATH-SAFE project	traces-0yuCzhv;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5432AA	Assembled	225	53474	5002920	Escherichia coli / Shigella;100.0%	222	77539	4.1	ESC_DC3000AA_AS
ESC_ZA5433AA	HU76	PATH-SAFE project	traces-0szTTLJ;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5433AA	Assembled	147	174174	5080504	Escherichia coli / Shigella;98.53%	103	29681	4.1	ESC_DC3001AA_AS
ESC_ZA5434AA	HU77	PATH-SAFE project	traces-0fyxKDO;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5434AA	Assembled	117	93917	5371915	Escherichia coli / Shigella;97.73%	176	57221	4.1	ESC_DC3002AA_AS
ESC_ZA5435AA	HU70	PATH-SAFE project	traces-0JjQLfr;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5435AA	Assembled	158	123894	5121624	Escherichia coli / Shigella;96.37%	139	81205	4.1	ESC_DC3003AA_AS
ESC_ZA5436AA	HU71	PATH-SAFE project	traces-0PYTdqE;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5436AA	Assembled	138	485542	5094225	Escherichia coli / Shigella;100.0%	35	13387	4.1	ESC_DC3004AA_AS
ESC_ZA5437AA	CAN118	PATH-SAFE project	traces-0ZfliVM;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5437AA	Assembled	143	153154	5132267	Escherichia coli / Shigella;93.24%	102	31799	4.1	ESC_DC3005AA_AS
ESC_ZA5438AA	CAN119	PATH-SAFE project	traces-0eZGeRF;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5438AA	Assembled	131	355037	5149362	Escherichia coli / Shigella;100.0%	80	9601	4.1	ESC_DC3006AA_AS
ESC_ZA5439AA	CAN116	PATH-SAFE project	traces-0NNPvxL;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5439AA	Assembled	142	212368	5065327	Escherichia coli / Shigella;100.0%	72	21361	4.1	ESC_DC3007AA_AS
ESC_ZA5440AA	CAN117	PATH-SAFE project	traces-0DEGlFM;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5440AA	Assembled	155	281931	4795406	Escherichia coli / Shigella;97.14%	43	14552	4.1	ESC_DC3008AA_AS
ESC_ZA5441AA	CAN114	PATH-SAFE project	traces-0ydWcqR;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5441AA	Assembled	79	367016	5124824	Escherichia coli / Shigella;97.56%	59	52497	4.1	ESC_DC3009AA_AS
ESC_ZA5442AA	CAN115	PATH-SAFE project	traces-0xxJBeu;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5442AA	Assembled	187	202645	5303729	Escherichia coli / Shigella;96.85%	138	26927	4.1	ESC_DC3010AA_AS
ESC_ZA5443AA	CAN112	PATH-SAFE project	traces-0OlHgCA;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5443AA	Assembled	152	343727	5112768	Escherichia coli / Shigella;98.28%	85	15508	4.1	ESC_DC3011AA_AS
ESC_ZA5444AA	CAN113	PATH-SAFE project	traces-0bfgEbP;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5444AA	Assembled	57	292834	5225680	Escherichia coli / Shigella;93.65%	108	69475	4.1	ESC_DC3012AA_AS
ESC_ZA5445AA	CAN110	PATH-SAFE project	traces-0Nweqzt;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5445AA	Assembled	148	189058	5132981	Escherichia coli / Shigella;100.0%	76	93905	4.1	ESC_DC3013AA_AS
ESC_ZA5446AA	CAN111	PATH-SAFE project	traces-0swbIaR;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5446AA	Assembled	180	353543	5095163	Escherichia coli / Shigella;100.0%	57	58802	4.1	ESC_DC3014AA_AS
ESC_ZA5447AA	CAN196	PATH-SAFE project	traces-0LBJJCN;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5447AA	Assembled	98	304102	5295548	Escherichia coli / Shigella;98.73%	116	75466	4.1	ESC_DC3015AA_AS
ESC_ZA5448AA	CAN197	PATH-SAFE project	traces-0dQUmfg;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5448AA	Assembled	163	123442	4681875	Escherichia coli / Shigella;97.47%	95	20041	4.1	ESC_DC3016AA_AS
ESC_ZA5449AA	CAN194	PATH-SAFE project	traces-0pjbBdc;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5449AA	Assembled	111	287420	5038040	Escherichia coli / Shigella;98.39%	99	19349	4.1	ESC_DC3017AA_AS
ESC_ZA5450AA	CAN195	PATH-SAFE project	traces-0vPctab;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5450AA	Assembled	130	485542	5050785	Escherichia coli / Shigella;100.0%	27	11794	4.1	ESC_DC3018AA_AS
ESC_ZA5451AA	CAN192	PATH-SAFE project	traces-0JHYLKv;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5451AA	Assembled	93	346876	5082854	Escherichia coli / Shigella;100.0%	80	56717	4.1	ESC_DC3019AA_AS
ESC_ZA5452AA	CAN193	PATH-SAFE project	traces-0UfLSGf;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5452AA	Assembled	49	414781	5069352	Escherichia coli / Shigella;100.0%	68	29496	4.1	ESC_DC3020AA_AS
ESC_ZA5453AA	CAN190	PATH-SAFE project	traces-0YQYVYj;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5453AA	Assembled	85	635200	5190247	Escherichia coli / Shigella;97.14%	57	58934	4.1	ESC_DC3021AA_AS
ESC_ZA5454AA	CAN191	PATH-SAFE project	traces-0EDUpcX;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5454AA	Assembled	108	204000	5288692	Escherichia coli / Shigella;95.13%	105	57963	4.1	ESC_DC3022AA_AS
ESC_ZA5455AA	HB16	PATH-SAFE project	traces-0jyjfnu;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5455AA	Assembled	130	36048	4901820	Escherichia coli / Shigella;100.0%	272	125682	4.1	ESC_DC3023AA_AS
ESC_ZA5456AA	HB15	PATH-SAFE project	traces-0HCaZmV;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5456AA	Assembled	131	176044	5396663	Escherichia coli / Shigella;100.0%	135	31427	4.1	ESC_DC3024AA_AS
ESC_ZA5458AA	CAN199	PATH-SAFE project	traces-0bHIZDD;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5458AA	Assembled	158	317791	5095802	Escherichia coli / Shigella;98.0%	73	19865	4.1	ESC_DC3026AA_AS
ESC_ZA5459AA	CAN69	PATH-SAFE project	traces-0jOJTwT;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5459AA	Assembled	60	250516	5005187	Escherichia coli / Shigella;98.21%	92	26916	4.1	ESC_DC3027AA_AS
ESC_ZA5460AA	CAN68	PATH-SAFE project	traces-0AvDYuT;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5460AA	Assembled	74	433481	5230608	Escherichia coli / Shigella;97.67%	65	7904	4.1	ESC_DC3028AA_AS
ESC_ZA5461AA	HB22	PATH-SAFE project	traces-0oWfbRl;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5461AA	Assembled	128	311892	5309578	Escherichia coli / Shigella;100.0%	123	15934	4.1	ESC_DC3029AA_AS
